channelKey,year,month,uploads_count_Normal,uploads_count_Short,views_total_Normal,views_total_Short,likes_total_Normal,likes_total_Short,comments_total_Normal,comments_total_Short,likes_per_1k_views_Normal,likes_per_1k_views_Short,comments_per_1k_views_Normal,comments_per_1k_views_Short,engagement_per_1k_views_Normal,engagement_per_1k_views_Short,avg_views_per_video_Normal,avg_views_per_video_Short,avg_duration_seconds_Normal,avg_duration_seconds_Short,views_mom_pct_Normal,views_mom_pct_Short,uploads_share_within_channel_month_Normal,uploads_share_within_channel_month_Short,views_share_within_channel_month_Normal,views_share_within_channel_month_Short,likes_per_1k_views_short_minus_normal,likes_per_1k_views_short_div_normal,comments_per_1k_views_short_minus_normal,comments_per_1k_views_short_div_normal,engagement_per_1k_views_short_minus_normal,engagement_per_1k_views_short_div_normal,avg_views_per_video_short_minus_normal,avg_views_per_video_short_div_normal
@Vox,2024,2024-12,5.0,7.0,3627818.0,943674.0,106208.0,59080.0,5243.0,684.0,29.28,62.61,1.45,0.72,30.72,63.33,725563.6,134810.57,562.8,53.71,-0.4115,-0.8656,0.4167,0.5833,0.7936,0.2064,33.33,2.138,-0.73,0.497,32.61,2.062,-590753.03,0.186
@nytimes,2024,2024-01,3.0,,1071825.0,,6712.0,,437.0,,6.26,,0.41,,6.67,,357275.0,,194.0,,,,1.0,,1.0,,,,,,,,,
@nytimes,2024,2024-02,4.0,,823937.0,,15757.0,,2540.0,,19.12,,3.08,,22.21,,205984.25,,233.0,,-0.2313,,1.0,,1.0,,,,,,,,,
@nytimes,2024,2024-03,1.0,,163099.0,,3008.0,,155.0,,18.44,,0.95,,19.39,,163099.0,,336.0,,-0.802,,1.0,,1.0,,,,,,,,,
@nytimes,2024,2024-04,4.0,,865394.0,,17481.0,,1343.0,,20.2,,1.55,,21.75,,216348.5,,298.75,,4.3059,,1.0,,1.0,,,,,,,,,
@nytimes,2024,2024-05,4.0,,278523.0,,3893.0,,395.0,,13.98,,1.42,,15.4,,69630.75,,180.0,,-0.6782,,1.0,,1.0,,,,,,,,,
@nytimes,2024,2024-06,2.0,,204735.0,,1777.0,,80.0,,8.68,,0.39,,9.07,,102367.5,,251.0,,-0.2649,,1.0,,1.0,,,,,,,,,
@nytimes,2024,2024-07,11.0,,2255034.0,,30560.0,,5365.0,,13.55,,2.38,,15.93,,205003.09,,283.55,,10.0144,,1.0,,1.0,,,,,,,,,
@nytimes,2024,2024-08,24.0,,872491.0,,26707.0,,4766.0,,30.61,,5.46,,36.07,,36353.79,,177.92,,-0.6131,,1.0,,1.0,,,,,,,,,
@nytimes,2024,2024-09,22.0,,526076.0,,13364.0,,3549.0,,25.4,,6.75,,32.15,,23912.55,,201.09,,-0.397,,1.0,,1.0,,,,,,,,,
